Genot,Temp,Family,meangr
X3223,35,O,3.73453286134549
X3223,37.5,O,3.725
X3223,40,O,2.74322956170928
X3943,20,O,2.18319746376812
X3943,25,O,3.01854435957697
X3943,30,O,3.81166666666667
X3943,35,O,4.84557748538012
X3943,37.5,O,3.98200292397661
X3943,40,O,2.52337258454106
X3968,20,O,2.34261775362319
X3968,25,O,2.98108230513122
X3968,30,O,3.38836654589372
X3968,35,O,3.73416666666667
X3968,37.5,O,3.60491929429429
X3968,40,O,2.36616847826087
X3975,20,O,2.28034420289855
X3975,25,O,3.29438813813814
X3975,30,O,4.18658625730994
X3975,35,O,4.22671783625731
X3975,37.5,O,3.90486950766556
X3975,40,O,2.51471920289855
X4494,20,O,1.84157608695652
X4494,25,O,3.15502001847585
X4494,30,O,4.19604532163743
X4494,35,O,4.6111013986014
X4494,37.5,O,4.26879385964912
X4494,40,O,2.97551939822718
X4498,20,O,2.20061773730252
X4498,25,O,3.14428490990991
X4498,30,O,3.92852339181287
X4498,35,O,4.20259502923977
X4498,37.5,O,3.45868993993994
X4498,40,O,2.65647644927536
X4708,20,O,2.36163949275362
X4708,25,O,3.329253003003
X4708,30,O,4.01873538011696
X4708,35,O,4.50606725146199
X4708,37.5,O,3.74450292397661
X4708,40,O,2.29551630434783
X4712,20,O,2.25022644927536
X4712,25,O,3.11824324324324
X4712,30,O,3.64388888888889
X4712,35,O,3.98597222222222
X4712,37.5,O,3.55319444444445
X4712,40,O,2.33152173913044
X4713,20,O,1.91349637681159
X4713,25,O,3.46892642642643
X4713,30,O,4.3828581871345
X4713,35,O,5.01666666666667
X4713,37.5,O,4.13194444444445
X4713,40,O,2.8993327294686
X4715,20,O,2.26947463768116
X4715,25,O,3.42001501501502
X4715,30,O,3.96472222222222
X4715,35,O,4.23456871345029
X4715,37.5,O,3.56379504504505
X4715,40,O,1.14346618357488
X4716,20,O,2.52875905797101
X4716,25,O,3.57083333333333
X4716,30,O,4.51973684210526
X4716,35,O,4.39894005847953
X4716,37.5,O,3.69504692192192
X4716,40,O,2.49524456521739
X4730,20,O,2.46807065217391
X4730,25,O,3.14168992361927
X4730,30,O,3.55222222222222
X4730,35,O,3.85305555555556
X4730,37.5,O,3.48758445945946
X4730,40,O,2.24048913043478
X4824,20,O,2.46897644927536
X4824,25,O,3.56194444444445
X4824,30,O,4.44901315789474
X4824,35,O,5.00581140350877
X4824,37.5,O,4.1040350877193
X4824,40,O,2.56836352657005
X5910,20,O,2.37590579710145
X5910,25,O,3.6475
X5910,30,O,4.5349269005848
X5910,35,O,5.09375
X5910,37.5,O,4.39894005847953
X5910,40,O,2.81637003851678
X5914,20,O,2.42074275362319
X5914,25,O,3.51353603603604
X5914,30,O,4.26626461988304
X5914,35,O,4.42945906432749
X5914,37.5,O,3.83388888888889
X5914,40,O,2.70257548309179
X6203,20,O,2.40217391304348
X6203,25,O,3.22093468468469
X6203,30,O,3.78361111111111
X6203,35,O,4.33654970760234
X6203,37.5,O,4.04555555555556
X6203,40,O,3.35175120772947
X847,20,O,2.26947463768116
X847,25,O,3.28520806286636
X847,30,O,3.98039473684211
X847,35,O,4.63442338575281
X847,37.5,O,4.44097222222222
X847,40,O,3.21381800629499
X851,20,O,2.24184782608696
X851,25,O,3.32719406906907
X851,30,O,3.99997076023392
X851,35,O,4.10873538011696
X851,37.5,O,3.25117149758454
X851,40,O,2.31800822561692
X8783,20,O,1.17866847826087
X8783,25,O,1.61888586956522
X8783,30,O,1.45221920289855
X8783,35,O,3.52187875375375
X8783,37.5,O,3.77097222222222
X8783,40,O,2.41530797101449
X8784,20,O,2.15194746376812
X8784,25,O,3.17435378313096
X8784,30,O,4.33959795321637
X8784,35,O,4.72737573099415
X8784,37.5,O,3.68626313813814
X8784,40,O,2.22758152173913
X8787,20,O,2.06067648741419
X8787,25,O,3.26323198198198
X8787,30,O,4.17584795321638
X8787,35,O,4.13306286549708
X8787,37.5,O,3.4667210960961
X8787,40,O,2.46638586956522
X8789,20,O,2.2932518115942
X8789,25,O,3.39241741741742
X8789,30,O,4.11669590643275
X8789,35,O,4.54239766081871
